Removed samples and series PI3K ,,,
Series,Reason,Sample,Reason 
,,GSM2493956,irrelevant knockout
,,GSM2493957,irrelevant knockout
,,GSM2493958,irrelevant knockout
,,GSM2493959,irrelevant knockout
,,GSM2493960,irrelevant knockout
,,GSM2493961,irrelevant knockout
,,GSM2493962,irrelevant knockout
,,GSM2493963,irrelevant knockout
,,GSM2493964,irrelevant knockout
,,GSM2493965,irrelevant knockout
,,GSM2493966,irrelevant knockout
,,GSM2493967,irrelevant knockout
,,GSM2493968,irrelevant knockout
,,GSM2493969,irrelevant knockout
,,GSM2493970,irrelevant knockout
,,GSM2493971,irrelevant knockout
,,GSM2493972,irrelevant knockout
,,GSM2493973,irrelevant knockout
,,GSM2493974,irrelevant knockout
,,GSM2493975,irrelevant knockout
,,GSM2493976,irrelevant knockout
,,GSM2493977,irrelevant knockout
,,GSM2493978,irrelevant knockout
,,GSM2493979,irrelevant knockout
,,GSM2493980,irrelevant knockout
,,GSM2493127,irrelevant knockout
,,GSM2493128,irrelevant knockout
,,GSM2493129,irrelevant knockout
,,GSM2493130,irrelevant knockout
,,GSM2493131,irrelevant knockout
,,GSM2493132,irrelevant knockout
,,GSM2493133,irrelevant knockout
,,GSM2493134,irrelevant knockout
,,GSM2493135,irrelevant knockout
,,GSM2493136,irrelevant knockout
,,GSM2493137,irrelevant knockout
,,GSM2493138,irrelevant knockout
,,GSM2493139,irrelevant knockout
,,GSM2493140,irrelevant knockout
,,GSM2493141,irrelevant knockout
,,GSM2493142,irrelevant knockout
,,GSM2493143,irrelevant knockout
,,GSM2493144,irrelevant knockout
,,GSM2493145,irrelevant knockout
,,GSM2493146,irrelevant knockout
,,GSM2493147,irrelevant knockout
,,GSM2493148,irrelevant knockout
,,GSM2493149,irrelevant knockout
,,GSM2493150,irrelevant knockout
,,GSM2493151,irrelevant knockout
,,GSM2493152,irrelevant knockout
,,GSM2493153,irrelevant knockout
,,GSM2493154,irrelevant knockout
,,GSM2493155,irrelevant knockout
,,GSM2493156,irrelevant knockout
,,GSM2493157,irrelevant knockout
,,GSM2493158,irrelevant knockout
,,GSM2493159,irrelevant knockout
,,GSM2493160,irrelevant knockout
,,GSM2493161,irrelevant knockout
,,GSM2493162,irrelevant knockout
,,GSM2493163,irrelevant knockout
,,GSM2493164,irrelevant knockout
,,GSM2493165,irrelevant knockout
,,GSM2493166,irrelevant knockout
,,GSM2493167,irrelevant knockout
,,GSM2493168,irrelevant knockout
